Durusdinium32312_c0_g1_i3	Durusdinium32312	OG0004530
Durusdinium38600_c0_g1_i9	Durusdinium38600	OG0006683
Durusdinium19520_c0_g1_i1	Durusdinium19520	OG0008859
Durusdinium24224_c0_g1_i1	Durusdinium24224	OG0004928
Durusdinium24602_c0_g1_i2	Durusdinium24602	OG0004134
Durusdinium41962_c0_g1_i1	Durusdinium41962	OG0001255
Durusdinium46764_c0_g1_i1	Durusdinium46764	OG0000189
Durusdinium13608_c0_g1_i1	Durusdinium13608	OG0009212
Durusdinium24517_c0_g1_i1	Durusdinium24517	OG0004663
Durusdinium19767_c0_g1_i1	Durusdinium19767	OG0005778
Durusdinium10472_c0_g1_i1	Durusdinium10472	OG0003984
Durusdinium18503_c0_g1_i1	Durusdinium18503	OG0003914
Durusdinium31479_c0_g1_i4	Durusdinium31479	OG0007572
Durusdinium13826_c0_g1_i2	Durusdinium13826	OG0005918
Durusdinium24348_c0_g1_i2	Durusdinium24348	OG0000921
Durusdinium38862_c0_g2_i1	Durusdinium38862	OG0003476
Durusdinium38877_c1_g2_i2	Durusdinium38877	OG0000259
Durusdinium32510_c0_g1_i6	Durusdinium32510	OG0003091
Durusdinium31452_c0_g2_i1	Durusdinium31452	OG0007281
Durusdinium41592_c0_g1_i1	Durusdinium41592	OG0002152
Durusdinium23477_c0_g2_i1	Durusdinium23477	OG0008606
Durusdinium5789_c0_g1_i1	Durusdinium5789	OG0006054
Durusdinium38360_c0_g1_i2	Durusdinium38360	OG0000874
Durusdinium27253_c0_g1_i1	Durusdinium27253	OG0002278
Durusdinium19454_c0_g1_i1	Durusdinium19454	OG0004060
Durusdinium7700_c0_g1_i1	Durusdinium7700	OG0008161
Durusdinium30857_c0_g1_i1	Durusdinium30857	OG0008831
Durusdinium39759_c0_g1_i3	Durusdinium39759	OG0003471
Durusdinium24997_c0_g1_i3	Durusdinium24997	OG0008358
Durusdinium23171_c0_g1_i2	Durusdinium23171	OG0004799
Durusdinium21592_c0_g1_i3	Durusdinium21592	OG0007546
Durusdinium23896_c0_g1_i2	Durusdinium23896	OG0006568
Durusdinium33642_c0_g1_i3	Durusdinium33642	OG0003059
Durusdinium15072_c0_g2_i1	Durusdinium15072	OG0001881
Durusdinium36968_c0_g3_i1	Durusdinium36968	OG0003608
Durusdinium42913_c0_g1_i1	Durusdinium42913	OG0001997
Durusdinium43008_c0_g1_i1	Durusdinium43008	OG0003093
Durusdinium46032_c0_g1_i1	Durusdinium46032	OG0004217
Durusdinium28874_c0_g1_i2	Durusdinium28874	OG0003351
Durusdinium38113_c0_g1_i3	Durusdinium38113	OG0001145
Durusdinium40123_c4_g15_i1	Durusdinium40123	OG0000050
Durusdinium22695_c0_g2_i1	Durusdinium22695	OG0000285
Durusdinium34886_c0_g1_i4	Durusdinium34886	OG0005559
Durusdinium38450_c1_g2_i1	Durusdinium38450	OG0005832
Durusdinium35736_c0_g2_i2	Durusdinium35736	OG0009637
Durusdinium9625_c0_g1_i2	Durusdinium9625	OG0008783
Durusdinium51996_c0_g1_i1	Durusdinium51996	OG0008626
Durusdinium11498_c0_g1_i1	Durusdinium11498	OG0004351
Durusdinium35746_c0_g1_i3	Durusdinium35746	OG0009282
Durusdinium18412_c0_g1_i2	Durusdinium18412	OG0009645
Durusdinium421_c0_g1_i2	Durusdinium421	OG0007084
Durusdinium18851_c0_g1_i2	Durusdinium18851	OG0009880
Durusdinium38138_c0_g1_i5	Durusdinium38138	OG0001341
Durusdinium38563_c0_g1_i1	Durusdinium38563	OG0006270
Durusdinium6920_c0_g1_i2	Durusdinium6920	OG0009507
Durusdinium38844_c0_g1_i7	Durusdinium38844	OG0009039
Durusdinium51913_c0_g1_i1	Durusdinium51913	OG0006317
Durusdinium18910_c0_g1_i1	Durusdinium18910	OG0000311
Durusdinium28484_c0_g1_i3	Durusdinium28484	OG0009845
Durusdinium48841_c0_g1_i1	Durusdinium48841	OG0002138
Durusdinium26056_c0_g1_i1	Durusdinium26056	OG0009523
Durusdinium22830_c0_g1_i1	Durusdinium22830	OG0000046
Durusdinium30175_c0_g1_i2	Durusdinium30175	OG0003668
Durusdinium38228_c0_g2_i2	Durusdinium38228	OG0001684
Durusdinium32539_c0_g1_i4	Durusdinium32539	OG0005369
Durusdinium146_c0_g1_i2	Durusdinium146	OG0008085
Durusdinium51552_c0_g1_i1	Durusdinium51552	OG0006685
Durusdinium44222_c0_g1_i1	Durusdinium44222	OG0003747
Durusdinium7564_c0_g1_i1	Durusdinium7564	OG0000690
Durusdinium17288_c0_g1_i1	Durusdinium17288	OG0002071
Durusdinium55670_c0_g1_i1	Durusdinium55670	OG0008527
Durusdinium40638_c3_g1_i7	Durusdinium40638	OG0000580
Durusdinium31001_c0_g1_i2	Durusdinium31001	OG0006019
